State,Action,Reward
"[0.75, 0.7586206896551724, 0.0, 0.0, 0.00010001000100010001, 0.010901090109010901, 0.0, 0.0, 0.0, 0.7083333333333333, 0.1111111111111111, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",DM_sent,-0.01
"[0.75, 0.7586206896551724, 0.0, 0.0, 0.006000600060006001, 0.005900590059005901, 0.0, 0.0, 0.0, 0.7083333333333333, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",DM_sent,-0.01
"[0.25, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",DM_sent,-0.01
"[0.25, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",DM_sent,-0.01
"[0.25, 0.6206896551724138, 0.0, 0.0, 0.00040004000400040005, 1.0, 0.0, 0.0, 0.0, 0.041666666666666664, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",DM_sent,-0.01
"[0.5, 0.0, 0.0, 0.0, 1.0, 0.010501050105010502, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",DM_sent,-0.01
"[0.25, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",DM_sent,-0.01
"[0.5, 0.0, 0.0, 0.0, 1.0, 0.005900590059005901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",DM_sent,-0.01
"[1.0, 0.0, 0.0, 0.0, 1.0, 0.005900590059005901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",DM_sent,-0.01
"[0.25, 0.20689655172413793, 0.0, 0.0, 0.00040004000400040005, 1.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",DM_sent,-0.01
"[0.5, 0.5517241379310345, 0.0, 0.0, 0.0029002900290029006, 0.002000200020002, 0.0, 0.0, 0.0, 0.6666666666666666, 0.1111111111111111, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",DM_sent,-0.01
"[0.5, 0.4482758620689655, 0.0, 0.0, 0.00010001000100010001, 0.006000600060006001, 0.0, 0.0, 0.0, 0.5416666666666666, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",DM_sent,-0.01
"[0.25, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",DM_sent,-0.01
"[0.75, 0.0, 0.0, 0.0, 1.0, 0.005900590059005901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",DM_sent,-0.01
"[0.25, 0.24137931034482757, 0.0, 0.0, 0.0005000500050005, 1.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",DM_sent,-0.01
"[0.25, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",DM_sent,-0.01
"[0.25, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",DM_sent,-0.01
"[0.5, 0.0, 0.0, 0.0, 1.0, 0.0159015901590159, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",DM_sent,-0.01
