JobID,Description,Time,TotalDMsSent,TotalEMsSent,TotalSMSsSent,TotalCALLsSent,TimeSinceLastEmail,TimeSinceLastDM,TimeSinceLastCall,TimeSinceLastSMS,Age_segment,Segment,Reward,Nr_of_Sales,Nr_of_Opens,Nr_of_Clicks,Nr_of_Unsubs
44710.0,EMsent,2024-05-12,1,11,0,0,0.0,59.0,9999.0,9999.0,61-80,Best Ager,1.0,0,10,0,0
44394.0,EMsent,2024-05-08,1,10,0,0,0.0,55.0,9999.0,9999.0,61-80,Best Ager,1.0,0,9,0,0
55388.0,EMsent,2024-07-15,2,14,0,0,0.0,32.0,9999.0,9999.0,61-80,Best Ager,1.0,0,13,0,0
40456.0,EMsent,2024-04-14,1,8,0,0,0.0,31.0,9999.0,9999.0,61-80,Best Ager,1.0,0,7,0,0
35578.0,EMsent,2024-03-17,1,7,0,0,0.0,3.0,9999.0,9999.0,61-80,Best Ager,1.0,0,6,0,0
,DM_Offersent,2024-03-14,1,6,0,0,4.0,9999.0,9999.0,9999.0,61-80,Best Ager,0.0,0,6,0,0
34062.0,EMsent,2024-03-10,0,6,0,0,0.0,9999.0,9999.0,9999.0,61-80,Best Ager,1.0,0,5,0,0
29158.0,EMsent,2024-02-15,0,5,0,0,0.0,9999.0,9999.0,9999.0,61-80,Best Ager,1.0,0,4,0,0
28232.0,EMsent,2024-02-11,0,4,0,0,0.0,9999.0,9999.0,9999.0,61-80,Best Ager,1.0,0,3,0,0
26376.0,EMsent,2024-01-28,0,3,0,0,0.0,9999.0,9999.0,9999.0,61-80,Best Ager,1.0,0,2,0,0
24494.0,EMsent,2024-01-14,0,2,0,0,0.0,9999.0,9999.0,9999.0,61-80,Best Ager,1.0,0,1,0,0
19748.0,EMsent,2023-12-10,0,1,0,0,0.0,9999.0,9999.0,9999.0,61-80,Best Ager,1.0,0,0,0,0
42756.0,EMsent,2024-04-28,1,9,0,0,0.0,45.0,9999.0,9999.0,61-80,Best Ager,1.0,0,8,0,0
44995.0,EMsent,2024-05-14,1,17,0,0,0.0,89.0,9999.0,9999.0,41-60,Best Ager,0.0,0,13,0,0
,DM_Offersent,2024-05-30,2,17,0,0,16.0,105.0,9999.0,9999.0,41-60,Best Ager,0.0,0,13,0,0
49295.0,EMsent,2024-06-09,2,18,0,0,0.0,10.0,9999.0,9999.0,41-60,Best Ager,1.0,0,13,0,0
67805.0,EMsent,2024-09-19,3,27,0,0,0.0,14.0,9999.0,9999.0,41-60,Best Ager,0.0,0,22,0,0
51099.0,EMsent,2024-06-20,2,19,0,0,0.0,21.0,9999.0,9999.0,41-60,Best Ager,1.0,0,14,0,0
